t=2025-08-10T02:24:45+0300 lvl=info msg="open config file" path=/Users/antonparfenov/tg-money-miniapp/ngrok.yml err=nil
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=bc07c552bd4c l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=1913e6e82238 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=7f9b19590f62 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=98c527673861 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=dcb97a5ef881 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=b4760c81d3f7 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=cb800f140da5 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=29814901d78b l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=812bdcea8534 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=32a4bac42542 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=2c5216ec4f6f l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=9e2c6ff8bf54 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=b4dbae2fbfb4 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=0b5a99fdd7af l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=15a9ed64a1a1 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=986260e760cf l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=586e39be070b l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=6832de229646 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=ca0a39c96430 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=06eac6feaacf l=[::1]:5173 r=95.25.228.116:24663
